Date,Total sources,Sources with issues,Correct sources
2019-02-26,4,0,4
2019-02-27,4,0,4
2019-02-28,4,0,4
2019-03-01,4,0,4
2019-03-04,4,0,4
2019-03-05,4,0,4
2019-03-06,4,0,4
2019-03-07,4,0,4
2019-03-08,4,0,4
2019-03-11,4,0,4
2019-03-12,4,0,4
2019-03-13,4,0,4
2019-03-14,4,0,4
2019-03-15,4,0,4
2019-03-18,4,0,4
2019-03-19,4,0,4
2019-03-20,5,0,5
2019-03-21,5,0,5
2019-03-22,5,0,5
2019-03-25,5,0,5
2019-03-26,5,0,5
2019-03-27,5,0,5
2019-03-28,5,0,5
2019-03-29,5,0,5
2019-04-01,5,0,5
2019-04-02,5,0,5
2019-04-03,5,0,5
2019-04-04,5,0,5
2019-04-05,5,0,5
2019-04-08,5,0,5
2019-04-09,5,0,5
2019-04-10,5,0,5
2019-04-11,5,0,5
2019-04-12,5,0,5
2019-04-15,5,0,5
2019-04-16,5,0,5
2019-04-17,5,0,5
2019-04-18,6,0,6
2019-04-19,6,0,6
2019-04-23,6,0,6
2019-04-24,6,0,6
2019-04-25,6,0,6
2019-04-26,6,0,6
2019-04-29,6,0,6
2019-04-30,6,0,6
2019-05-01,10,0,10
2019-05-02,10,0,10
2019-05-03,10,0,10
2019-05-06,10,0,10
2019-05-07,10,0,10
2019-05-08,10,0,10
2019-05-09,10,0,10
2019-05-10,10,0,10
2019-05-13,11,0,11
2019-05-14,11,0,11
2019-05-15,11,0,11
2019-05-16,13,0,13
2019-05-17,13,0,13
2019-05-20,13,0,13
2019-05-21,15,0,15
2019-05-22,17,0,17
2019-05-23,17,0,17
2019-05-24,17,0,17
2019-05-27,17,0,17
2019-05-28,17,0,17
2019-05-29,17,0,17
2019-05-30,17,0,17
2019-05-31,17,0,17
2019-06-03,17,0,17
2019-06-04,17,0,17
2019-06-05,17,0,17
2019-06-06,17,0,17
2019-06-07,17,0,17
2019-06-10,17,0,17
2019-06-11,17,0,17
2019-06-12,17,0,17
2019-06-13,17,0,17
2019-06-14,17,0,17
2019-06-17,17,0,17
2019-06-18,17,0,17
2019-06-19,17,0,17
2019-06-20,17,0,17
2019-06-21,17,0,17
2019-06-24,17,0,17
2019-06-25,17,0,17
2019-06-27,17,0,17
2019-06-28,17,0,17
2019-07-08,18,0,18
2019-07-09,18,0,18
2019-07-10,18,0,18
2019-07-11,18,0,18
2019-07-12,18,0,18
2019-07-15,18,0,18
2019-07-16,18,0,18
2019-07-17,18,0,18
2019-07-18,18,0,18
2019-07-19,18,0,18
2019-07-22,18,0,18
2019-07-23,18,0,18
2019-07-24,18,0,18
2019-07-25,18,0,18
2019-07-26,18,0,18
2019-07-29,18,0,18
2019-07-30,18,0,18
2019-07-31,18,0,18
2019-08-01,18,0,18
2019-08-02,18,0,18
2019-08-05,18,0,18
2019-08-06,18,0,18
2019-08-07,18,0,18
2019-08-08,18,0,18
2019-08-09,18,0,18
2019-08-12,18,0,18
2019-08-13,18,0,18
2019-08-14,18,0,18
2019-08-15,18,0,18
2019-08-16,18,0,18
2019-08-26,18,0,18
2019-08-27,18,0,18
2019-08-28,18,0,18
2019-08-29,18,0,18
2019-08-30,18,0,18
2019-09-02,18,0,18
2019-09-03,18,0,18
2019-09-04,18,0,18
2019-09-05,18,0,18
2019-09-06,18,0,18
2019-09-09,18,0,18
2019-09-10,18,0,18
2019-09-11,18,0,18
2019-09-12,18,0,18
2019-09-13,18,0,18
2019-09-16,18,0,18
2019-09-17,18,0,18
2019-09-18,18,0,18
2019-09-19,18,0,18
2019-09-20,18,0,18
2019-09-23,18,0,18
2019-09-24,18,0,18
2019-09-25,18,0,18
2019-09-26,18,0,18
2019-09-27,18,0,18
2019-09-30,18,0,18
2019-10-01,18,0,18
2019-10-03,18,0,18
2019-10-04,18,0,18
2019-10-07,18,0,18
2019-10-08,18,0,18
2019-10-09,18,0,18
2019-10-10,18,0,18
2019-10-11,18,0,18
2019-10-14,18,0,18
2019-10-15,18,0,18
2019-10-18,20,0,20
2019-10-21,20,0,20
2019-10-22,20,0,20
2019-10-23,20,0,20
2019-10-24,20,0,20
2019-10-25,20,0,20
2019-10-28,20,0,20
2019-10-29,20,0,20
2019-10-30,20,0,20
2019-10-31,20,0,20
2019-11-01,20,0,20
2019-11-04,20,0,20
2019-11-05,20,0,20
2019-11-06,20,0,20
2019-11-07,20,0,20
2019-11-08,20,0,20
2019-11-11,20,0,20
2019-11-12,20,0,20
2019-11-13,20,0,20
2019-11-14,20,0,20
2019-11-15,20,0,20
2019-11-18,20,0,20
2019-11-19,20,0,20
2019-11-20,20,0,20
2019-11-21,20,0,20
2019-11-22,20,0,20
2019-11-25,20,0,20
2019-11-26,20,0,20
2019-11-27,20,0,20
2019-11-28,20,0,20
2019-11-29,20,0,20
2019-12-02,20,0,20
2019-12-03,20,0,20
2019-12-05,20,0,20
2019-12-06,20,0,20
2019-12-09,20,0,20
2019-12-10,20,0,20
2019-12-11,20,0,20
2019-12-12,20,0,20
2019-12-13,20,0,20
2019-12-16,20,0,20
2019-12-17,20,0,20
2019-12-18,20,0,20
2019-12-19,20,0,20
2019-12-20,20,0,20
2019-12-23,20,0,20
2019-12-24,20,0,20
2019-12-25,20,0,20
2019-12-30,20,0,20
2019-12-31,20,0,20
2020-01-01,20,0,20
2020-01-02,20,0,20
2020-01-03,20,0,20
2020-01-06,20,0,20
2020-01-07,20,0,20
2020-01-08,20,0,20
2020-01-09,20,0,20
2020-01-10,20,0,20
2020-01-13,20,0,20
2020-01-14,20,0,20
2020-01-15,20,0,20
2020-01-16,20,0,20
2020-01-17,20,0,20
2020-01-20,20,0,20
2020-01-21,20,0,20
2020-01-22,20,0,20
2020-01-23,20,0,20
2020-01-24,20,0,20
2020-01-27,20,0,20
2020-01-28,20,0,20
2020-01-29,20,0,20
2020-01-30,20,0,20
2020-01-31,20,0,20
2020-02-03,20,0,20
2020-02-04,20,0,20
2020-02-05,20,0,20
2020-02-07,20,0,20
