Date,Total sources,Sources with issues,Correct sources
2018-11-09,3,0,3
2018-11-12,3,0,3
2018-11-13,3,0,3
2018-11-14,3,0,3
2018-11-15,3,0,3
2018-11-16,3,0,3
2018-11-19,3,0,3
2018-11-20,3,0,3
2018-11-21,3,0,3
2018-11-22,3,0,3
2018-11-23,3,0,3
2018-11-26,3,0,3
2018-11-27,3,0,3
2018-11-28,3,0,3
2018-11-29,3,0,3
2018-11-30,3,0,3
2018-12-03,3,0,3
2018-12-04,3,0,3
2018-12-05,3,0,3
2018-12-06,3,0,3
2018-12-07,3,0,3
2018-12-10,3,0,3
2018-12-11,3,0,3
2018-12-12,3,0,3
2018-12-13,3,0,3
2018-12-14,3,0,3
2018-12-18,3,0,3
2018-12-19,3,0,3
2018-12-20,3,0,3
2018-12-21,3,0,3
2019-01-01,3,0,3
2019-01-02,3,0,3
2019-01-03,3,0,3
2019-01-04,3,0,3
2019-01-07,3,0,3
2019-01-08,3,0,3
2019-01-09,3,0,3
2019-01-10,3,0,3
2019-01-11,3,0,3
2019-01-14,3,0,3
2019-01-15,3,0,3
2019-01-16,3,0,3
2019-01-17,3,0,3
2019-01-18,3,0,3
2019-01-21,3,0,3
2019-01-22,3,0,3
2019-01-23,3,0,3
2019-01-24,3,0,3
2019-01-25,3,0,3
2019-01-28,3,0,3
2019-01-29,3,0,3
2019-01-30,3,0,3
2019-01-31,3,0,3
2019-02-01,3,0,3
2019-02-04,3,0,3
2019-02-05,3,0,3
2019-02-06,3,0,3
2019-02-07,3,0,3
2019-02-08,3,0,3
2019-02-18,3,0,3
2019-02-19,3,0,3
2019-02-20,3,0,3
2019-02-21,3,0,3
2019-02-22,3,0,3
2019-02-25,3,0,3
2019-02-26,3,0,3
2019-02-27,3,0,3
2019-02-28,3,0,3
2019-03-01,3,0,3
2019-03-04,3,0,3
2019-03-05,3,0,3
2019-03-06,3,0,3
2019-03-07,3,0,3
2019-03-08,3,0,3
2019-03-11,3,0,3
2019-03-12,3,0,3
2019-03-13,3,0,3
2019-03-14,3,0,3
2019-03-15,3,0,3
2019-03-18,3,0,3
2019-03-19,3,0,3
2019-03-20,3,0,3
2019-03-21,3,0,3
2019-03-22,3,0,3
2019-03-25,3,0,3
2019-03-26,3,0,3
2019-03-27,3,0,3
2019-03-28,3,0,3
2019-03-29,3,0,3
2019-04-01,3,0,3
2019-04-02,3,0,3
2019-04-03,3,0,3
2019-04-04,3,0,3
2019-04-05,3,0,3
2019-04-08,3,0,3
2019-04-09,3,0,3
2019-04-10,3,0,3
2019-04-11,3,0,3
2019-04-12,3,0,3
2019-04-15,3,0,3
2019-04-16,3,0,3
2019-04-17,3,0,3
2019-04-18,3,0,3
2019-04-19,3,0,3
2019-04-23,3,0,3
2019-04-24,3,0,3
2019-04-25,3,0,3
2019-04-26,3,0,3
2019-04-29,3,0,3
2019-04-30,3,0,3
2019-05-01,3,0,3
2019-05-02,3,0,3
2019-05-03,3,0,3
2019-05-06,3,0,3
2019-05-07,3,0,3
2019-05-08,3,0,3
2019-05-09,3,0,3
2019-05-10,3,0,3
2019-05-13,3,0,3
2019-05-14,3,0,3
2019-05-15,3,0,3
2019-05-16,3,0,3
2019-05-17,3,0,3
2019-05-20,3,0,3
2019-05-21,4,0,4
2019-05-22,4,0,4
2019-05-23,4,0,4
2019-05-24,4,0,4
2019-05-27,4,0,4
2019-05-28,4,0,4
2019-05-29,4,0,4
2019-05-30,4,0,4
2019-05-31,4,0,4
2019-06-03,4,0,4
2019-06-04,4,0,4
2019-06-05,4,0,4
2019-06-06,4,0,4
2019-06-07,4,0,4
2019-06-10,4,0,4
2019-06-11,4,0,4
2019-06-12,4,0,4
2019-06-13,4,0,4
2019-06-14,4,0,4
2019-06-17,4,0,4
2019-06-18,4,0,4
2019-06-19,4,0,4
2019-06-20,4,0,4
2019-06-21,4,0,4
2019-06-24,4,0,4
2019-06-25,4,0,4
2019-06-27,4,0,4
2019-06-28,4,0,4
2019-07-08,4,0,4
2019-07-09,4,0,4
2019-07-10,4,0,4
2019-07-11,4,0,4
2019-07-12,4,0,4
2019-07-15,4,0,4
2019-07-16,4,0,4
2019-07-17,4,0,4
2019-07-18,4,0,4
2019-07-19,4,0,4
2019-07-22,4,0,4
2019-07-23,4,0,4
2019-07-24,4,0,4
2019-07-25,4,0,4
2019-07-26,4,0,4
2019-07-29,4,0,4
2019-07-30,4,0,4
2019-07-31,4,0,4
2019-08-01,4,0,4
2019-08-02,4,0,4
2019-08-05,4,0,4
2019-08-06,4,0,4
2019-08-07,4,0,4
2019-08-08,4,0,4
2019-08-09,4,0,4
